Player,Position,Matches_Played,Minutes_Played,Goals,Assists,Shots_On_Target,Pass_Accuracy,Tackles,Yellow_Cards,Red_Cards,Avg_X,Avg_Y,Touches,Passes,Shot_X,Shot_Y,Chance,GA
David_Raya,GK,27,2430,0,0,0,75.2,5,1,0,0.0,0.0,20,40,0.0,0.0,0.2835642135642136,0
William_Saliba,DEF,23,2025,1,0,5,89.1,34,2,0,30.5,40.2,900,1200,0.5,7.2,0.2,1
Ben_White,DEF,24,2100,1,3,8,86.7,28,5,0,28.1,38.9,1100,1500,0.6,10.1,0.125,4
Piero_Hincapié,DEF,22,1980,2,1,10,85.4,30,3,0,27.9,39.5,980,1300,0.8,9.6,0.2,3
Gabriel_Magalhães,DEF,20,1760,3,0,6,84.0,22,6,0,26.8,41.0,720,900,0.7,8.4,0.5,3
Bukayo_Saka,FWD,25,2050,7,6,24,82.3,12,3,0,62.3,18.7,1400,900,12.6,30.2,0.2916666666666667,13
Martin_Odegaard,MID,24,2000,6,8,18,86.9,8,4,0,58.4,20.1,1500,1600,10.2,25.8,0.3333333333333333,14
Declan_Rice,MID,25,2150,4,1,10,89.5,48,6,0,45.2,35.3,1700,1800,3.1,12.4,0.4,5
Kai_Havertz,FWD,22,1700,5,4,20,84.7,10,3,0,50.8,25.6,900,700,9.4,22.7,0.25,9
Viktor_Gyökeres,FWD,20,1500,8,0,28,72.5,6,3,0,54.1,30.2,600,200,14.3,30.6,0.2857142857142857,8
Gabriel_Martinelli,FWD,21,1600,5,3,22,80.4,9,2,0,58.0,22.4,800,600,11.8,27.1,0.22727272727272727,8
Eberechi_Eze,MID,18,950,5,2,14,81.0,4,2,0,56.2,24.8,500,320,8.6,20.3,0.35714285714285715,7
Mikel_Merino,MID,19,1400,5,1,6,87.2,22,4,0,42.0,33.1,900,800,2.9,9.7,0.8333333333333334,6
Jurriën_Timber,DEF,15,1100,0,1,3,84.9,20,3,0,25.4,40.3,650,500,0.4,6.2,0.0,1
Riccardo_Calafiori,DEF,18,1250,0,0,2,83.6,18,5,0,24.9,39.8,700,540,0.3,5.8,0.0,0
Ethan_Nwaneri,MID,12,420,1,1,4,78.5,2,1,0,52.1,27.0,200,90,1.2,3.4,0.25,2
