Player,Position,Matches_Played,Minutes_Played,Goals,Assists,Shots_On_Target,Pass_Accuracy,Tackles,Yellow_Cards,Red_Cards,Avg_X,Avg_Y,Touches,Passes,Shot_X,Shot_Y,Chance,GA
Alisson_Becker,GK,27,2430,0,1,0,84.9,2,1,0,0.0,0.0,32,58,0.0,0.0,0.26611192570869985,1
Trent_Alexander-Arnold,DEF,25,2150,3,9,18,88.7,24,4,0,33.8,40.5,1450,1650,4.2,18.6,0.16666666666666666,12
Andrew_Robertson,DEF,23,1950,1,7,10,86.9,28,5,0,32.4,41.8,1300,1400,2.1,14.9,0.1,8
Virgil_van_Dijk,DEF,28,2520,4,1,8,91.5,30,3,0,30.2,43.0,1500,1800,1.2,11.4,0.5,5
Ibrahima_Konate,DEF,22,1900,2,0,5,89.3,34,4,0,31.1,42.6,1200,1400,0.7,9.8,0.4,2
Joe_Gomez,DEF,18,1450,0,1,2,88.1,22,3,0,29.6,41.9,850,1000,0.3,6.5,0.0,1
Alexis_Mac_Allister,MID,26,2200,5,6,16,89.9,38,6,0,47.8,34.1,1550,1700,4.5,17.3,0.3125,11
Dominik_Szoboszlai,MID,25,2050,6,7,22,86.4,30,5,0,53.6,28.9,1400,1350,7.8,23.9,0.2727272727272727,13
Curtis_Jones,MID,20,1500,3,3,9,88.5,26,3,0,48.9,33.2,1000,1100,2.6,12.8,0.3333333333333333,6
Wataru_Endo,MID,22,1600,2,1,6,87.8,44,7,0,45.1,36.7,1100,1200,1.9,10.6,0.3333333333333333,3
Mohamed_Salah,FWD,29,2600,19,11,62,82.6,14,2,0,61.2,22.5,1650,1200,18.9,32.6,0.3064516129032258,30
Luis_Diaz,FWD,24,1950,8,5,30,80.9,18,4,0,60.1,23.4,1200,850,14.6,29.1,0.26666666666666666,13
Darwin_Nunez,FWD,26,2150,15,6,54,74.2,12,6,0,56.3,30.9,1050,380,17.8,33.0,0.2777777777777778,21
Diogo_Jota,FWD,21,1500,10,4,40,79.5,10,3,0,55.4,29.2,800,420,16.1,31.7,0.25,14
Cody_Gakpo,FWD,23,1650,7,4,28,81.3,14,3,0,54.7,28.6,950,520,13.4,28.5,0.25,11
Harvey_Elliott,FWD,20,1100,4,5,18,84.1,16,2,0,52.9,27.4,700,600,8.6,22.4,0.2222222222222222,9
