Player,Position,Matches_Played,Minutes_Played,Goals,Assists,Shots_On_Target,Pass_Accuracy,Tackles,Yellow_Cards,Red_Cards,Avg_X,Avg_Y,Touches,Passes,Shot_X,Shot_Y,Chance,GA
Ederson,GK,27,2430,0,1,0,84.5,3,1,0,0.0,0.0,30,55,0.0,0.0,0.2635658590921749,1
Kyle_Walker,DEF,24,1900,1,2,4,88.1,26,4,0,28.4,39.6,950,1100,0.6,8.1,0.25,3
Ruben_Dias,DEF,25,2150,2,0,6,91.0,34,3,0,29.8,41.3,1200,1500,0.7,9.0,0.3333333333333333,2
John_Stones,DEF,22,1750,1,2,5,92.3,30,2,0,31.2,40.8,1100,1350,0.9,10.4,0.2,3
Josko_Gvardiol,DEF,24,2050,3,1,12,89.4,38,5,0,32.6,42.1,1250,1400,2.1,14.8,0.25,4
Manuel_Akanji,DEF,23,1950,1,1,4,90.2,29,4,0,30.4,41.6,1150,1300,0.5,7.5,0.25,2
Rodri,MID,28,2500,6,5,18,93.1,52,6,0,45.6,36.9,1800,2100,4.2,16.3,0.3333333333333333,11
Kevin_De_Bruyne,MID,20,1450,5,9,25,87.6,14,2,0,57.4,26.1,1000,900,11.9,28.7,0.2,14
Bernardo_Silva,MID,26,2200,4,6,16,90.8,32,5,0,54.2,27.8,1600,1700,6.4,21.2,0.25,10
Phil_Foden,FWD,27,2300,12,7,38,86.5,20,3,0,59.1,23.5,1500,1300,14.8,29.9,0.3157894736842105,19
Jack_Grealish,FWD,22,1650,4,5,14,89.0,18,4,0,58.0,24.9,1100,1000,7.3,23.4,0.2857142857142857,9
Jeremy_Doku,FWD,23,1500,6,4,30,81.2,15,3,0,61.3,21.7,900,600,13.2,27.6,0.2,10
Erling_Haaland,FWD,26,2250,25,6,72,74.8,8,4,0,54.9,30.8,1100,350,19.6,32.1,0.3472222222222222,31
Julian_Alvarez,FWD,24,1800,9,6,28,83.4,16,2,0,52.7,28.9,900,700,12.1,26.8,0.32142857142857145,15
Mateo_Kovacic,MID,21,1400,2,3,8,90.6,24,5,0,46.1,34.2,900,950,2.4,11.3,0.25,5
Matheus_Nunes,MID,18,1100,1,2,6,88.7,20,3,0,47.8,33.5,700,680,1.9,10.2,0.16666666666666666,3
