Player,Position,Matches_Played,Minutes_Played,Goals,Assists,Shots_On_Target,Pass_Accuracy,Tackles,Yellow_Cards,Red_Cards,Avg_X,Avg_Y,Touches,Passes,Shot_X,Shot_Y,Chance,GA
Andre_Onana,GK,28,2520,0,0,0,82.4,3,2,0,0.0,0.0,35,60,0.0,0.0,0.27832852332852326,0
Diogo_Dalot,DEF,27,2300,2,4,8,85.6,32,6,0,29.5,38.7,1200,1350,1.4,11.2,0.25,6
Luke_Shaw,DEF,18,1450,1,3,6,86.9,20,3,0,31.2,41.0,800,900,1.8,13.6,0.16666666666666666,4
Lisandro_Martinez,DEF,22,1900,1,1,4,90.2,36,5,0,30.8,42.3,1150,1400,0.6,8.4,0.25,2
Matthijs_de_Ligt,DEF,25,2150,3,1,7,89.1,34,4,0,29.9,41.5,1200,1450,0.9,9.8,0.42857142857142855,4
Raphael_Varane,DEF,19,1550,1,0,3,88.4,22,2,0,29.4,41.8,850,1000,0.4,7.3,0.3333333333333333,1
Casemiro,MID,24,1950,3,2,10,87.0,48,7,1,44.8,35.6,1300,1500,2.5,14.1,0.3,5
Kobbie_Mainoo,MID,26,2100,4,3,12,89.8,34,4,0,47.5,33.2,1450,1600,3.6,15.9,0.3333333333333333,7
Bruno_Fernandes,MID,30,2650,10,11,42,83.5,28,6,0,56.9,25.4,1700,1550,13.8,29.4,0.23809523809523808,21
Mason_Mount,MID,20,1350,4,4,14,85.1,18,3,0,52.1,27.9,900,850,5.6,20.8,0.2857142857142857,8
Marcus_Rashford,FWD,28,2350,14,6,48,81.0,16,4,0,60.4,22.8,1400,1000,15.2,31.5,0.2916666666666667,20
Alejandro_Garnacho,FWD,26,2000,9,5,35,79.6,14,5,0,61.1,21.6,1200,850,14.1,30.2,0.2571428571428571,14
Antony,FWD,22,1500,5,3,20,80.2,18,6,0,59.7,23.1,950,700,9.8,25.6,0.25,8
Rasmus_Hojlund,FWD,25,2100,13,3,44,73.8,10,5,0,55.6,30.4,900,320,16.9,32.4,0.29545454545454547,16
Joshua_Zirkzee,FWD,18,1100,6,4,22,78.4,8,2,0,54.2,29.7,650,280,13.2,28.9,0.2727272727272727,10
Amad_Diallo,FWD,17,950,4,3,18,82.1,12,2,0,58.3,24.0,600,420,8.9,22.7,0.2222222222222222,7
