Player,Position,Matches_Played,Minutes_Played,Goals,Assists,Shots_On_Target,Pass_Accuracy,Tackles,Yellow_Cards,Red_Cards,Avg_X,Avg_Y,Touches,Passes,Shot_X,Shot_Y,Chance,GA
Guglielmo_Vicario,GK,28,2520,0,0,0,81.6,3,2,0,0.0,0.0,34,60,0.0,0.0,0.2642483949076241,0
Pedro_Porro,DEF,27,2350,4,7,20,86.2,38,6,0,33.1,40.2,1500,1550,4.9,19.3,0.2,11
Cristian_Romero,DEF,25,2200,3,1,8,88.9,45,9,1,31.0,42.5,1350,1500,1.2,11.6,0.375,4
Micky_van_de_Ven,DEF,24,2150,2,1,6,89.4,36,5,0,31.6,43.1,1300,1450,0.9,10.2,0.3333333333333333,3
Destiny_Udogie,DEF,23,2050,2,4,12,85.7,40,6,0,34.0,41.9,1400,1350,2.8,16.7,0.16666666666666666,6
Ben_Davies,DEF,18,1400,1,1,4,87.1,28,4,0,30.2,41.5,900,950,0.6,8.5,0.25,2
Yves_Bissouma,MID,24,1950,2,2,10,88.3,50,8,0,45.3,36.8,1500,1600,2.3,12.9,0.2,4
Pape_Matar_Sarr,MID,25,2100,4,3,14,87.6,42,6,0,49.2,33.4,1450,1400,3.9,16.1,0.2857142857142857,7
James_Maddison,MID,26,2200,9,11,34,84.5,20,5,0,55.8,26.4,1600,1400,12.7,28.9,0.2647058823529412,20
Dejan_Kulusevski,FWD,27,2250,8,7,30,83.2,24,6,0,58.9,24.1,1550,1300,11.3,26.7,0.26666666666666666,15
Brennan_Johnson,FWD,24,1850,7,5,26,80.8,18,3,0,60.4,22.7,1200,900,13.6,29.8,0.2692307692307692,12
Heung-Min_Son,FWD,29,2600,18,9,58,81.9,14,2,0,61.0,23.0,1700,1100,18.4,32.2,0.3103448275862069,27
Richarlison,FWD,22,1600,10,3,36,75.4,12,5,0,56.2,30.6,950,400,16.1,33.1,0.2777777777777778,13
Timo_Werner,FWD,20,1400,6,4,24,77.1,10,3,0,58.4,27.9,850,380,14.5,30.4,0.25,10
Manor_Solomon,FWD,17,900,3,3,14,79.6,8,2,0,59.2,25.8,600,450,9.7,24.6,0.21428571428571427,6
Giovani_Lo_Celso,MID,16,850,3,2,10,86.0,14,2,0,51.6,30.1,600,520,4.8,18.2,0.3,5
